idx|time|match|quote|title|author|label
56|00:00|in the heart of the night|She, carved in the heart of the night for the restlessness of my hallucinated eyes: she, recorded in the woods of the forest by the knives of my hands|The enthusiastic depth|Pablo Neruda|PASS
80|00:03|after twelve o'clock|It was after twelve o'clock when Easton came home. Ruth recognised his footsteps before he reached the house, and her heart seemed to stop beating when she heard the clang of the gate, as it closed after he had passed through.|The Ragged Trousered Philanthropists|Robert Tressell|PASS
89|00:05|after twelve o'clock|It was after twelve o'clock when Easton came home. Ruth recognised his footsteps before he reached the house, and her heart seemed to stop beating when she heard the clang of the gate, as it closed after he had passed through.|The Ragged Trousered Philanthropists|Robert Tressell|PASS
938|05:01|after five o'clock|Just after five o'clock on this chill September morning, the fishmonger's cart, containing Kirsten and Emilia and such possessions as they have been able to assemble in the time allowed to them, is driven out of the gates of Rosenborg?|Music and Silence|Rose Tremain|PASS
2089|10:20|In twenty minutes|At about ten o'clock the first tiny snowflakes came loitering down and settled on Jill's arm. Ten minutes later they were falling quite thickly. In twenty minutes the ground was noticeably white.|The Silver Chair|C.S. Lewis|FAIL
3158|15:31|after half past three|It was after half past three when the hotel manager came to see Hetty. She had made several applications to the front desk since Sean O'Donnell had left, but to no avail.|New York|Edward Rutherfurd|PASS
3363|16:36|after four-thirty|It was after four-thirty when they arrived at the old Red Bull Playhouse in upper St. John Street, and the performance had been under way for more than an hour. The theatre was hot and stuffy, almost humid, and it smelt strongly of sweat and unwashed bodies and powerful perfumes.|Forever Amber|Kathleen Windsor|PASS
3471|17:01|after five|"THE COUNTESS OLENSKA had said ""after five""; and at half after the hour Newland Archer rang the bell of the peeling stucco house with a giant wisteria throttling its feeble cast-iron balcony, which she had hired, far down West Twenty-third Street, from the vagabond Medora."|The Age of Innocence|Edith Wharton|PASS
3860|19:10|in five minutes it would be a quarter past seven|"He had already got to the point where, by rocking more strongly, he maintained his equilibrium with difficulty, and very soon he would finally have to make a final decision, for in five minutes it would be a quarter past seven. Then there was a ring at the door of the apartment. ""That's someone from the office,"" he told himself, and he almost froze, while his small limbs only danced around all the faster. For one moment everything remained still. ""They aren't opening,"" Gregor said to himself, caught up in some absurd hope."|Metamorphosis|Franz Kafka|PASS
4067|20:06|after eight o'clock|I have been drunk just twice in my life, and the second time was that afternoon; so everything that happened has a dim, hazy cast over it, although until after eight o'clock the apartment was full of cheerful sun.|The Great Gatsby|F. Scott Fitzgerald|PASS
